"export-plot data (NetLogo 5.2.0)"
"MANET.nlogo"
"05/28/2015 14:57:35:348 +0200"

"MODEL SETTINGS"
"radius","max-degree","nodes-number","node-velocity","all-different","run-length","strategy","export-plots"
"15","25","90","5","true","2000","""No-bridge-kill""","true"

"""Degree distribution"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","25","0","90","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","1","1","0","13"

"""default"""
"x","y","color","pen down?"
"1","5","0","true"
"2","11","0","true"
"3","5","0","true"
"4","22","0","true"
"5","16","0","true"
"6","7","0","true"
"7","8","0","true"
"8","8","0","true"
"9","4","0","true"
"10","3","0","true"
"13","1","0","true"
